Issue Type,Summary,Description,Priority,Labels,Due Date
Task,"FC-01 Define ICP tiers and qualification rubric (US executives + coaches)","Objective:\nCreate a strict ICP and qualification framework to prevent low-quality pipeline and shorten close cycles.\n\nScope:\n- Define segment tiers for individual executives and coach buyers.\n- Define disqualification rules (timing, authority, budget, fit).\n- Add qualification fields to outbound tracker.\n\nAcceptance Criteria:\n- Approved ICP matrix exists and is used by both founder and Mauricio.\n- 100% of outbound records include ICP tier + qualification status.\n- Disqualification reason is mandatory for all rejected leads.\n\nBusiness Impact:\nDirectly improves acquisition efficiency and founder time allocation.",Highest,"acquisition,fast-close,bd,mauricio,icp",2026-06-10
Task,"FC-02 Finalize offer architecture and pricing narrative","Objective:\nPackage offers for fast close while preserving expansion path.\n\nScope:\n- Individual executive offer at $199/month.\n- Coach seat model at 25% discount vs individual plan.\n- One-page pricing and value framing for outreach and calls.\n\nAcceptance Criteria:\n- Offer docs approved and published for internal use.\n- All outbound and call scripts use a consistent pricing narrative.\n- Objection handling includes budget and ROI response patterns.\n\nBusiness Impact:\nImproves close rate and reduces confusion in sales conversations.",Highest,"acquisition,pricing,sales,marketing",2026-06-11
Task,"FC-03 Build messaging matrix for LinkedIn and email","Objective:\nCreate segment-specific messaging that increases positive replies and meeting quality.\n\nScope:\n- 3 message angles per segment.\n- Subject line library and CTA variants.\n- Objection response library tied to pain points.\n\nAcceptance Criteria:\n- Messaging matrix v1 is documented and versioned.\n- At least 2 A/B variants are launched per channel.\n- Reply coding taxonomy is defined (positive, neutral, reject, no-fit).\n\nBusiness Impact:\nPrimary lever for top-of-funnel conversion.",Highest,"acquisition,outbound,linkedin,email",2026-06-12
Task,"FC-04 Build first 150-target outbound list with QA","Objective:\nStand up a clean target list for week-2 execution.\n\nScope:\n- 150 US contacts across executive and coach segments.\n- Include title, company, trigger context, and outreach channel.\n- QA for duplicates and stale records.\n\nAcceptance Criteria:\n- At least 150 contacts loaded with >= 90% field completeness.\n- Duplicate rate below 3%.\n- Segment split is documented and approved.\n\nBusiness Impact:\nImproves reach quality and outbound efficiency.",High,"acquisition,list-build,mauricio,ops",2026-06-13
Task,"FC-05 Launch week-2 outbound wave with daily logging","Objective:\nExecute first controlled outbound wave and build evidence baseline.\n\nScope:\n- Run LinkedIn + email cadence daily.\n- Log all touches and outcomes in single tracker.\n- Daily checkpoint with founder.\n\nAcceptance Criteria:\n- >= 120 touches completed by end of week.\n- Daily updates delivered with blockers and next actions.\n- Positive reply baseline captured by channel and segment.\n\nBusiness Impact:\nConverts planning into measurable acquisition motion.",Highest,"acquisition,execution,mauricio",2026-06-20
Task,"FC-06 Implement 24-hour warm-lead founder handoff SLA","Objective:\nReduce lead decay and increase booked-call conversion.\n\nScope:\n- Define handoff template (context, pain, urgency, ask).\n- Define owner and fallback if founder unavailable.\n- Track response latency and outcome.\n\nAcceptance Criteria:\n- >= 90% warm leads receive response within 24 hours.\n- Handoff template used on 100% of warm leads.\n- Weekly SLA report shows misses and root causes.\n\nBusiness Impact:\nIncreases speed-to-close and protects early trust.",Highest,"acquisition,sales-ops,sla",2026-06-20
Task,"FC-07 Build proof asset pack for close support","Objective:\nEquip calls and follow-ups with concise trust assets.\n\nScope:\n- 3 case-style snippets (problem, action, outcome).\n- FAQ items including credibility concerns and disclaimers.\n- One-page proof summary for outbound follow-up.\n\nAcceptance Criteria:\n- Proof pack published and used in all stage-2 opportunities.\n- Objection handling document reviewed weekly.\n- Meeting-to-opportunity conversion improves versus baseline.\n\nBusiness Impact:\nImproves conversion quality without major engineering effort.",High,"acquisition,trust,marketing,sales",2026-06-24
Task,"FC-08 Improve onboarding UX above-the-fold","Objective:\nIncrease activation by reducing first-session friction.\n\nScope:\n- Move key onboarding inputs horizontal/above-the-fold where practical.\n- Clarify first-value path and required fields.\n- Reduce scroll depth and cognitive load in onboarding flow.\n\nAcceptance Criteria:\n- Updated onboarding UI shipped to production.\n- Signup-to-first-value funnel instrumented.\n- Activation rate improves by at least 20% from baseline in 30 days.\n\nBusiness Impact:\nDirect acquisition and retention lift from better first experience.",Highest,"acquisition,product,onboarding,ux",2026-06-30
Task,"FC-09 Upgrade brief quality for executive, board, and interview contexts","Objective:\nIncrease perceived value and close confidence through better brief depth.\n\nScope:\n- Add board/interviewer expectation section to briefs.\n- Add role-specific guidance for executive interview strategy.\n- Add quality checklist and review loop.\n\nAcceptance Criteria:\n- New brief sections shipped and visible in generated outputs.\n- Brief quality rubric documented.\n- User feedback on brief usefulness collected for every demo/pilot account.\n\nBusiness Impact:\nImproves product differentiation and conversion.",Highest,"acquisition,product,briefs,quality",2026-07-05
Task,"FC-10 Improve target company search and relevance","Objective:\nIncrease repeat usage and practical value in core workflow.\n\nScope:\n- Improve target company search UX and ranking relevance.\n- Reduce false-positive search outcomes.\n- Add quick path to save top targets.\n\nAcceptance Criteria:\n- Search improvement shipped with measurable latency and relevance checks.\n- User task-completion tests show faster target selection.\n- Search success metric is tracked weekly.\n\nBusiness Impact:\nSupports acquisition demos and retention through daily utility.",High,"product,search,acquisition,retention",2026-07-10
Task,"FC-11 Implement action scoring across user journey","Objective:\nQuantify which actions correlate to conversion and retention.\n\nScope:\n- Define event taxonomy for key user actions.\n- Assign action score weights.\n- Capture score trend at user and cohort levels.\n\nAcceptance Criteria:\n- Event schema documented and implemented in analytics.\n- Score calculation runs daily.\n- Weekly report includes top and bottom action contributors.\n\nBusiness Impact:\nTurns product decisions into evidence-driven prioritization.",Highest,"analytics,acquisition,retention,telemetry",2026-07-12
Task,"FC-12 Create top and bottom quartile action effectiveness report","Objective:\nOperationalize product learning for weekly execution decisions.\n\nScope:\n- Compute top 25% and bottom 25% actions by impact.\n- Break out by segment (executive vs coach).\n- Publish recurring report for growth review.\n\nAcceptance Criteria:\n- Weekly report auto-generated and distributed.\n- Bottom quartile actions have explicit remove/fix decision each week.\n- Top quartile actions have scale plan each week.\n\nBusiness Impact:\nAccelerates compound learning and removes low-value work quickly.",High,"analytics,reporting,growth",2026-07-15
Task,"FC-13 Build Mauricio execution page with tasks and rationale","Objective:\nProvide one source of truth for Mauricio sprint tasks and why each task matters.\n\nScope:\n- Create public noindex execution page.\n- Include weekly tasks, outputs, metrics, and owners.\n- Link from kickoff page.\n\nAcceptance Criteria:\n- Page is live and reviewed by founder + Mauricio.\n- Weekly updates are reflected in page content.\n- Day-30 gates clearly documented.\n\nBusiness Impact:\nImproves accountability and execution clarity during trial period.",Medium,"operations,mauricio,documentation",2026-06-08
Task,"FC-14 Create BD partner intake page with lead capture","Objective:\nConvert coach and B2B interest into structured pilot opportunities.\n\nScope:\n- Build page with pilot value proposition and intake form.\n- Route form data to sales tracker.\n- Include qualification checklist for follow-up.\n\nAcceptance Criteria:\n- Intake page is live and connected to workflow.\n- New submissions trigger owner assignment within 1 business day.\n- Submission-to-first-response SLA is tracked.\n\nBusiness Impact:\nSupports 3-pilot target and partner channel growth.",High,"acquisition,b2b,pilots,bd",2026-07-20
Task,"FC-15 Publish trust FAQ and site disclaimer","Objective:\nReduce trust friction at decision stage and improve conversion quality.\n\nScope:\n- Add FAQ entry addressing credibility concerns.\n- Add disclaimer: no guarantee of success.\n- Ensure copy aligns with legal and positioning standards.\n\nAcceptance Criteria:\n- FAQ and disclaimer deployed on site.\n- Linked from pricing and key decision pages.\n- Sales team uses aligned language in calls and outreach.\n\nBusiness Impact:\nImproves trust while reducing legal/expectation risk.",Medium,"trust,legal,conversion",2026-07-01
Task,"FC-16 Add pre-prod UI/UX and AP-style release checks","Objective:\nRaise output quality and reduce regressions before production release.\n\nScope:\n- Define automated checks for UI/UX and AP style compliance.\n- Add checks to CI and release workflow.\n- Document pass/fail and override policy.\n\nAcceptance Criteria:\n- CI gate blocks merge on failed checks.\n- Release checklist includes UI/UX and style status.\n- False positive rate is tracked and tuned.\n\nBusiness Impact:\nSupports brand consistency and production quality at scale.",Medium,"quality,ci,ux,copy",2026-07-25
Task,"FC-17 Add PR-level error checking and logging standards","Objective:\nImprove reliability and diagnosability as user volume scales.\n\nScope:\n- Add PR checks for key error and logging requirements.\n- Define minimum logging fields for critical flows.\n- Add examples and lint-style enforcement where possible.\n\nAcceptance Criteria:\n- PR template/checklist includes logging requirements.\n- Critical routes comply with logging contract.\n- Weekly audit reports top logging gaps.\n\nBusiness Impact:\nImproves operational support readiness for 1,000 users.",Medium,"reliability,observability,ops",2026-08-01
Task,"FC-18 Day-30 trial decision memo and 60-90 scale plan","Objective:\nMake an objective continue/expand/stop decision based on trial outcomes.\n\nScope:\n- Compile scorecard performance against day-14/day-30 targets.\n- Quantify channel economics and pipeline quality.\n- Recommend next 60-day operating plan.\n\nAcceptance Criteria:\n- Decision memo approved within 2 business days after day 30.\n- 60-90 day plan includes owner, milestones, and resource needs.\n- Go/no-go criteria are explicit and archived.\n\nBusiness Impact:\nPrevents drift and preserves capital/time for highest-return work.",Highest,"leadership,planning,mauricio,acquisition",2026-07-04
Task,"FC-19 Coach pilot playbook and cohort reporting package","Objective:\nPackage coach use case for repeatable B2B pilot conversion and expansion.\n\nScope:\n- Define coach onboarding, seat setup, and reporting cadence.\n- Create cohort metrics template and pilot scorecard.\n- Build pilot close deck narrative.\n\nAcceptance Criteria:\n- Playbook and scorecard are used in all coach pilot conversations.\n- At least 3 qualified pilot opportunities have standardized reporting scope.\n- Post-pilot expansion path is documented.",High,"b2b,coaches,pilots,reporting",2026-08-15
Task,"FC-20 90-day closeout report and Jira backlog refresh","Objective:\nCreate final closeout with outcomes, misses, and next-quarter backlog.\n\nScope:\n- Summarize revenue, pipeline, conversion, and product impact.\n- Highlight top and bottom initiatives by measured results.\n- Generate next-quarter prioritized Jira import pack.\n\nAcceptance Criteria:\n- Closeout report shared with leadership.\n- Next-quarter Jira import file produced with acceptance criteria.\n- Backlog reflects measured impact, not assumptions.",Medium,"planning,reporting,jira,operations",2026-09-02
